index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
0,2.323070,-9.396930,-2.198460,2.507812,4.835938,-4.144531,2.318898,0.409948,3.463101
1,0.819235,-7.660440,-6.330220,0.029785,3.765625,-4.072266,-0.855838,2.789900,-5.283572
2,-2.007060,-9.396930,-2.961980,2.215820,0.015625,-3.218750,2.796025,-0.030309,1.416623
3,-6.337180,-7.660440,-2.198460,0.475098,-4.390625,-1.912109,-3.000703,8.032635,-1.323214
4,-3.510890,-9.396930,-1.169780,2.424805,-1.246094,-2.171875,2.673551,-1.466728,-2.210416
5,-3.510890,-9.396930,1.169780,2.940430,-0.652344,-1.402344,0.357594,2.287622,2.220199
6,-6.337180,-7.660440,2.198460,1.543945,-3.037109,-0.746094,0.893464,1.053464,0.083636
7,4.627090,-7.660440,-4.131760,0.864746,7.468750,-5.382812,0.445306,-14.118405,1.501355
8,1.206880,-5.000000,-8.528690,-2.805664,4.921875,-4.196289,-3.344051,56.186575,-11.473450
9,-3.510890,-7.660440,-5.566700,-0.073242,-0.960938,-3.595703,-3.752039,-6.158668,1.780945
10,-3.510890,-7.660440,5.566700,2.652832,1.652344,-1.105469,2.683673,5.384917,1.037417
11,0.819234,-7.660440,6.330220,2.725586,3.979492,-2.359375,-1.650745,1.567034,1.055562
12,6.337190,-5.000000,5.566700,1.797852,5.224609,-5.839844,5.225048,0.711660,-0.902517
13,4.627080,-7.660440,4.131760,2.397461,5.654297,-4.701172,5.942041,-4.819174,-1.245728
14,6.130920,-7.660440,0.000000,1.698242,7.679688,-5.976562,1.442053,8.588332,1.361978
15,8.363300,-5.000000,0.000000,-0.524414,9.808594,-6.247070,0.343843,-13.800557,2.226995
16,1.413150,-1.736480,-9.698460,-6.307548,5.289062,-3.967548,0.268924,-13.000801,15.280271
17,-4.627080,-5.000000,-7.500000,-2.732910,-1.562500,-3.740234,9.250248,20.330371,4.784164
18,-8.434930,-5.000000,-2.961980,-2.294922,-6.878906,-2.158203,2.609323,4.449052,1.337638
19,-9.551120,-1.736480,-3.368240,-5.636039,-8.515625,-2.495325,2.944815,-22.736823,-0.724302
20,-8.434930,-5.000000,2.961980,-1.293945,-5.359375,-0.581055,0.419788,0.734424,2.149003
21,-4.627080,-5.000000,7.500000,0.419189,0.708496,-0.201172,-1.676685,-4.469692,-2.973728
22,-9.551120,-1.736480,3.368240,-4.060124,-7.074219,-0.625190,1.296596,3.325136,-3.057096
23,-5.220990,-1.736480,8.528690,0.000000,0.000000,0.000000,447.492360,572.089711,-17.757548
24,1.206880,-5.000000,8.528690,2.356201,1.990723,-0.549805,-0.606604,-1.119823,1.374125
25,7.247110,-1.736480,6.330220,-0.737293,4.349609,-4.483113,0.424986,2.694607,-1.338649
26,6.337190,-5.000000,-5.566700,-1.586182,9.609375,-5.449219,-11.687160,-50.889934,-9.491021
27,9.551120,-1.736480,0.000000,-2.157283,10.714844,-7.047620,9.350014,-9.593947,3.788557
28,7.247110,1.736480,-6.330220,-8.761475,10.156250,-2.403320,10.263499,15.134788,1.165727
29,1.413150,1.736480,-9.698460,-9.611816,5.359375,-2.248047,10.876960,11.407239,-2.635246
30,-5.220990,-1.736480,-8.528690,-6.190317,-1.945313,-3.247687,-4.714962,-62.896715,2.762617
31,-5.220990,1.736480,-8.528690,-9.662598,-1.640625,-1.218750,-8.761662,16.794935,-18.554739
32,1.413150,-1.736480,9.698460,0.000000,0.000000,0.000000,38.638228,1348.695734,-219.262634
33,7.247110,-1.736480,-6.330220,-4.583826,10.250000,-5.771346,3.015228,23.770765,2.013440
34,9.551120,1.736480,0.000000,-8.373047,9.222656,-0.919922,-2.855023,19.300307,-6.245681
35,-9.551120,1.736480,-3.368240,-9.157715,-8.847656,-1.508789,-11.508414,12.331222,3.200478
36,-4.627080,5.000000,-7.500000,-12.472168,-1.359375,0.441406,15.639665,48.780861,-6.782909
37,-8.434930,5.000000,-2.961980,-12.285645,-8.019531,0.576172,-25.239501,-24.874078,-9.890758
38,-9.551120,1.736480,3.368240,-10.088867,-9.128906,-1.294922,-1.096873,0.824343,8.724978
39,-5.220990,1.736480,8.528690,-7.446045,-2.871474,1.394531,-1.354696,3.340295,-1.855879
40,1.413150,1.736480,9.698460,-8.403076,-4.208380,8.906250,1.516584,6.980266,-1.756433
41,7.247110,1.736480,6.330220,-6.462891,1.070313,1.595703,-1.470496,-24.575030,7.103551
42,6.337190,5.000000,5.566700,-12.261230,-1.046875,3.232422,7.548211,10.172489,2.570965
43,8.363300,5.000000,0.000000,-11.837891,7.082031,2.011719,6.554247,-1.099314,-2.112949
44,6.337190,5.000000,-5.566700,-12.094727,8.406250,0.345703,-8.095963,-7.436230,-5.194740
45,4.627090,7.660440,-4.131760,-14.636719,5.218750,2.945312,8.202589,11.442067,6.442586
46,1.206880,5.000000,-8.528690,-12.566895,4.546875,0.279297,-12.942019,-20.206377,-0.499293
47,-3.510890,7.660440,-5.566700,-15.000488,-1.523438,2.726562,7.256535,23.940288,9.798001
48,-6.337180,7.660440,-2.198460,-15.162598,-6.230469,2.640625,12.868652,16.029558,21.373013
49,-8.434930,5.000000,2.961980,-14.088379,-8.857422,-0.291016,-7.007901,-8.888236,3.778244
50,-4.627080,5.000000,7.500000,-17.304199,-5.287109,1.365234,-5.700665,-26.462274,0.004678
51,1.206880,5.000000,8.528690,-16.293469,-12.349876,0.000000,-479.661626,-1907.661342,246.608857
52,-3.510890,7.660440,5.566700,-16.338867,-5.323242,2.578125,0.556351,-2.918616,0.206491
53,4.627080,7.660440,4.131760,-14.222168,-1.595703,4.910156,-5.898249,0.944640,-2.408125
54,0.819235,7.660440,-6.330220,-14.997070,2.937500,2.550781,-21.407270,-8.361260,-6.369600
55,-2.007060,9.396930,-2.961980,-15.983398,-2.097656,4.074219,15.449535,-26.366330,-21.940116
56,-3.510890,9.396930,-1.169780,-15.994141,-4.800781,3.675781,7.842859,-2.148773,-5.961997
57,-6.337180,7.660440,2.198460,-15.520508,-7.425781,2.621094,8.931582,11.540148,-26.211977
58,-3.510890,9.396930,1.169780,-16.007812,-5.746094,3.500000,2.627364,5.870115,9.819811
59,0.819234,7.660440,6.330220,-15.871094,-9.431641,3.632813,-0.462078,2.640247,-1.344178
60,0.296957,9.396930,3.368240,-15.580078,-5.851562,5.304688,0.157230,-1.810717,-8.211800
61,2.323070,9.396930,2.198460,-15.626953,-2.253906,5.398438,-0.520148,-3.506975,1.469399
62,6.130920,7.660440,0.000000,-14.471680,4.171875,3.933594,-1.686542,2.410035,4.595207
63,3.123250,9.396930,0.000000,-15.881836,0.765625,4.921875,3.870746,-6.958740,-7.082027
64,0.296957,-9.396930,-3.368240,2.346191,2.265625,-3.707031,-2.193131,-5.126917,5.079970
65,-0.296955,-10.000000,0.000000,3.291504,2.144531,-2.667969,1.209169,1.667754,0.169466
66,-2.007060,-9.396930,2.961980,3.456055,1.794922,-1.609375,-3.746332,-2.543765,0.686761
67,0.296957,-9.396930,3.368240,3.591797,3.289062,-2.410156,0.269753,-2.488581,-5.442040
68,3.123250,-9.396930,0.000000,3.101563,5.000000,-4.339844,-0.117904,0.456859,-0.209370
69,2.323070,-9.396930,2.198460,3.348145,4.308594,-3.675781,-3.269136,1.328300,1.794644
70,0.296957,9.396930,-3.368240,-16.044922,0.175781,4.167969,1.667391,-16.187539,6.786451
71,-0.296955,10.000000,0.000000,-16.093750,-2.652344,5.000000,-3.416999,-1.194898,7.224632
72,-2.007060,9.396930,2.961980,-15.908203,-5.337891,3.835938,0.830414,-1.732224,-2.704527
73,2.323070,9.396930,-2.198460,-15.910156,1.417969,4.382812,-14.747905,1.644833,6.189980
74,-0.296932,-0.000080,0.000006,-6.503052,-0.984375,-3.543945,11.611630,-46.098601,5.888249
75,-2.366410,-4.396960,-1.736480,-2.690674,-1.992188,-3.321289,1.332985,-16.330417,2.118759
76,0.172150,4.999960,0.812517,-11.465332,-2.238281,1.416016,-14.773903,39.474695,0.670347
77,2.241620,-4.396970,0.923964,-1.522705,2.988281,-4.164062,-8.692736,42.520638,7.349388
